,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,parkingSpace,newDevelopmentFinished,labels,district
0,97086055,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7c/1c/37/1048558524.jpg,02860,3,bj,39900.0,flat,sale,119.0,True,4,2,Alcorisa,Teruel,Alcorisa,es,40.8908328,-0.3846301,False,https://www.idealista.com/inmueble/97086055/,34885,"Magnifica oportunidad! Piso en Calle San Pascual en la localidad de Alcorisa (Teruel). Esta situado en planta baja del edificio. Dispone de 102 m2 útiles. Esta distribuido en salón, cocina, 4 dormitorios, baño y aseo. Dispone de lavadero.    Consúltanos sin compromiso y solicita una visita! - 955275601    Sin comisión inmobiliaria.    Gestionamos su hipoteca de manera rápida y eficaz.",False,good,False,False,335.0,{'typology': 'flat'},"{'subtitle': 'Alcorisa', 'title': 'Piso'}",False,False,False,False,False,False,,,,
1,99071943,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/69/60/cc/1032601886.jpg,8571,32,,19000.0,chalet,sale,148.0,False,3,1,Calle Mayor,Teruel,Blesa,es,41.0503622,-0.8875453,False,https://www.idealista.com/inmueble/99071943/,20064,"""CASA A LA VENTA EN BLESA, CON MUCHAS POSIBILIDADES DE REFORMA, ESTA AL LADO DE LAS CUENCAS MINERAS CERCA DE MUNIESA"" 148m construidos, 104m útiles en dos plantas. Patio, desván. En la planta baja, esta compuesta por vestíbulo distribuidor, en el cual tiene una bajada a una bodega, salón, aseo, dormitorio, despensa, cocina y comedor. Además de un bonito corral de 50m y un almacén. Planta primera. Otros dos dormitorios, mas un desván de 26m. Contacta con nosotros para visitarla.",False,renew,False,,128.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Blesa', 'title': 'Casa independiente en Calle Mayor'}",True,False,False,False,False,False,,,,
2,99662110,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/81/12/d1/1050630274.jpg,11504-12,12,,17500.0,chalet,sale,90.0,False,4,2,Plaza España,Teruel,Foz-Calanda,es,40.923336,-0.2651183,False,https://www.idealista.com/inmueble/99662110/,45136,"¡ Oportunidad! Vivienda unifamiliar adosada de 65 m² distribuidos en salón-comedor, cuatro dormitorios, cocina independiente, dos cuartos de baño, balcón y vestíbulo. Precisa reforma integral para entrar a vivir ya que se encuentra en mal estado de conservación, pero ofrece muchas posibilidades. Bien ubicado en el centro de Foz, junto al Ayuntamiento y el centro de salud del municipio. Buenas comunicaciones por carretera (N-211).",False,renew,False,,194.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'Foz-Calanda', 'title': 'Chalet adosado en Plaza España'}",False,False,False,False,False,False,,,,
3,99644468,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/08/8f/1050204631.jpg,205-OKU-015,23,,17500.0,chalet,sale,90.0,False,3,2,Plaza España,Teruel,Foz-Calanda,es,40.9241692,-0.2665901,False,https://www.idealista.com/inmueble/99644468/,45022,"Se vende casa en Foz Calanda, pueblo situado en el Bajo Aragón turolense, rodeado por montañas, al pie del Monte del Castillo y enfrente del Monte del Palomar.  El río Guadalopillo marca la entrada del pueblo, ente chopos, almendros, melocotoneros y pinos. Se trata de una casa de tres plantas distribuidas de la siguiente manera: -Planta sótano a modo de despensa -Planta baja con una habitación -Primera planta con cocina, baño y salón -Segunda planta granero con cuarto de baño. Podían salir 2 habitaciones Una oportunidad para disfrutar de un entorno incomparable.",False,renew,False,,194.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Foz-Calanda', 'title': 'Casa independiente en Plaza España'}",False,False,False,False,False,False,,,,
4,90099364,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a2/59/8c/783097273.jpg,PUE0899,25,bj,90000.0,countryHouse,sale,247.0,False,4,1,Celadas,Teruel,Celadas,es,40.4726244,-1.1476536,False,https://www.idealista.com/inmueble/90099364/,54220,"Casa en Celadas, situada en una zona muy tranquila, justo detrás de la iglesia, está a unos 15 minutos de Teruel. Su estado de conservación es muy bueno. Se distribuye en: * Planta baja: - Amplio garaje. - Cocina. - Despensa almacén. * Planta primera: - Entrada o recibidor distribuidor. - Comedor espacioso y muy luminoso. - Cocina independiente equipada con muebles altos y bajos, encimera de granito. - Despensa. - Salida a patio trasero con barbacoa. - Tres grandes habitaciones. - Baño completo con ducha. * Bajo buhardilla: - Habitación con salida a terraza con bonitas vistas. El pueblo de Celadas pertenece a la comarca Comunidad de Teruel, se encuentra a 24 kilómetros de Teruel, por la N-234 o por la A23, tomando el desvío del puerto de Cella. Este lugar es ideal para los amantes de la naturaleza y del senderismo pues dispone de varias rutas. [IW].",False,good,False,,364.0,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}","{'subtitle': 'Celadas', 'title': 'Casa de pueblo'}",False,False,False,False,False,False,,,,
5,97146805,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4f/9d/2f/967788015.jpg,KR-05666-0001,3,2,106000.0,flat,sale,112.0,False,3,2,Alcañiz,Teruel,Alcañiz,es,41.0546135,-0.1349684,False,https://www.idealista.com/inmueble/97146805/,58978,"Piso de 112,5 m² a la venta en Alcañiz, en la provincia de Teruel. Esta vivienda de segunda mano está distribuida en varias dependencias y servicios. Dispone de buenas comunicaciones tanto por transporte público como por transporte privado. Ubicada en zona con todo tipo de servicios alrededor. Por ello, es una opción en la que invertir. Con los servicios prestados podrá encontrar la vivienda que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente.",False,good,False,False,946.0,{'typology': 'flat'},"{'subtitle': 'Alcañiz', 'title': 'Piso'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,
6,98158910,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/44/fa/34/1002961225.jpg,73047993,14,,43500.0,chalet,sale,220.0,False,4,2,Calle San Lorenzo s/n,Teruel,Muniesa,es,41.0315667,-0.8116139,True,https://www.idealista.com/inmueble/98158910/,16594,"Vivienda en Muniesca. Casa adosada de dos plantas más un alta destinada a granero. Consta de salón-comedor, cocina, 3 habitaciones, 1 baño, terraza, trastero y jardín.  Ubicada en el casco urbano de la localidad, muy cerca de la avenida principal del municipio. Municipio que dispone de todos los servicios básicos a su alcance, así como zonas verdes valoradas en las que poder realizar actividades al aire libre como el Parque Huerto El Cura. Vivienda para quienes quieran vivir en una localidad muy tranquila muy bien comunicada como para aquellos que busquen invertir para arrendamiento con una muy buena rentabilidad. Todo ello, además, con excelentes comunicaciones por transporte público (autobús) y carreteras (A-1401 y A-222).   Solicite más información sin ningún tipo de compromiso.",False,good,False,,198.0,{'typology': 'chalet'},"{'subtitle': 'Muniesa', 'title': 'Chalet en Calle San Lorenzo s/n'}",False,False,False,False,False,False,,,,
7,32534343,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/6c/f7/137283766.jpg,52953407,18,,43610.0,flat,sale,150.0,False,5,2,Calle Trinidad,Teruel,Alcañiz,es,41.0489201,-0.1342351,False,https://www.idealista.com/inmueble/32534343/,58836,"Amplio piso en la localidad de Alcañiz, Teruel. Se trata de una vivienda ubicada en pleno casco urbano del municipio. Cuenta con una superficie total de 150m2 entre sus dependencias se encuentran cinco dormitorios y dos cuartos de baño, necesita reforma lo que nos permite configurar la vivienda según nuestros gustos o necesidades. Se encuentra muy próxima al complejo Motorland Gp, circuito del calendario de MotoGP y de otras competiciones de motor nacionales e internacionales. Es una oportunidad de adquirir una magnífica vivienda o realizar una prometedora inversión.",False,good,False,,291.0,{'typology': 'flat'},"{'subtitle': 'Alcañiz', 'title': 'Piso en Calle Trinidad'}",False,False,False,False,False,False,,,,
8,88304259,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/05/fb/7f/743632121.jpg,48490093,4,,16250.0,flat,sale,138.0,False,1,1,Calle Mayor,Teruel,Andorra,es,40.9742922,-0.4432411,False,https://www.idealista.com/inmueble/88304259/,31617,"Os damos la bienvenida a esta espaciosa casa situada en Andorra, Teruel. La vivienda se distribuye en una habitación, salón-comedor, cocina y un baño. Se encuentra en el centro de Andorra. En sus alrededores encontramos escuelas, supermercados, bancos, bibliotecas, farmacias, oficinas de correos y centros deportivos. En términos de accesibilidad, la propiedad dispone de múltiples conexiones y cuenta con fácil acceso a A-223. No te pierdas esta oportunidad de encontrar la casa perfecta para ti.",False,good,False,,118.0,{'typology': 'flat'},"{'subtitle': 'Andorra', 'title': 'Piso en Calle Mayor'}",False,False,False,False,False,False,,,,
9,98635825,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e7/7d/ea/1018782885.jpg,,64,,145000.0,chalet,sale,190.0,False,3,2,"Diseminado Diseminados, 49",Teruel,Castellote,es,40.7751176,-0.3165759,True,https://www.idealista.com/inmueble/98635825/,42351,"Chalet 184 m2, 3 habitaciones dobles, 2 baños, 1 aseo, cocina totalmente equipada, despensa, garaje, bodega, balcón, gran terraza con magníficas vistas, jardín con invernadero, dentro de una finca de 20000m2 regadío apta para frutales, junto al pantano de Santolea. Dentro de la misma finca hay una caseta en piedra que consta de planta y sótano. Buenos accesos por carretera y servicio internet, teléfono, agua, electricidad. Con certificado energético. y también calefacción eléctrica calor azul, chimenea de leña y sistema Torben ( Es un sistema de calefacción holandés)  Ven a visitar. LOS HONORARIOS DE LA INMOBILIARIA ESTAN INCLUIDOS EN EL PRECIO DE VENTA.  Los gastos de compra venta no están incluidos en el precio, para más información sobre gastos puedes consultar la web gencat. cat. El mobiliario que aparece en las fotografías no se encuentra incluido en el precio de venta.",False,good,False,,763.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Castellote', 'title': 'Casa independiente en Diseminado Diseminados, 49'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,
