index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,superTopHighlight,parkingSpace,labels,newDevelopmentFinished
0,37423711,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/65/7d/1051146532.jpg,Z-2030,31,2,285000.0,flat,sale,63.0,True,2,2,barrio El Gòtic,Barcelona,Barcelona,Ciutat Vella,es,El Gòtic,41.3802156,2.1791571,False,https://www.idealista.com/inmueble/37423711/,1933,"Un estilo de vida urbano en un entorno lleno de historia. En este edificio del siglo XVIII del barrio Gótico se va a realizar un replanteamiento integral y una meticulosa restauración. El proyecto de Escudellers inf unde aires de modernidad al barrio Gótico. A su excelente ubicación en la Plaza George Orwell y su encanto del siglo XVIII, se suman ahora otros atractivos: una meticulosa restauración, la tecnología más innovadora y un excepcional diseño de interiores. Este edificio protegido es una parte viva de la impresionante Historia de Barcelona. Los maestros artesanos están restaurando cuidadosamente la inconfundible fachada decorada de la finca para devolver la belleza original a sus preciosos esgrafiados barrocos. Los xx apartamentos de esta propiedad son elegantes, ofrecen seguridad e intimidad y son la base perfecta para vivir la ciudad y disfrutar de ella sin concesiones. - Fachada original de 1769 restaurada por los maestros artesanos del - constructor. - Edificio histórico catalogado y protegido - Tecnología inteligente en todos los apartamentos - Ubicación privilegiada en el corazón del barrio Gótico de Barcelona - En la Plaza George Orwell, frente a una escultura del artista surrealista catalán Leandre Cristòfol - A solo unos metros de las Ramblas y cerca del mar - Amplia y variada oferta de los mejores restaurantes y bares de tapas de la ciudad - En uno de los centros neurálgicos de la vida nocturna de Barcelona. Rodeado de los bares y clubes más populares de la ciudad - Cerca de equipamientos culturales como el emblemático Gran Teatro del Liceo Xavier Guitart y el equipo de proyectos exclusivos del constructor se ocupan de la restauración. Xavier ha dirigido los proyectos de restauración de algunos de los monumentos emblemáticos más famosos de Barcelona, como el Hospital de la Santa Creu i Sant Pau, declarado Patrimonio de la Humanidad por la UNESCO, así como el Palacio Güell y la Colonia Güell de Gaudí. Escudellers: Formar parte de la historia, vivir el presente y decidir el futuro.",False,good,False,True,4524.0,{'typology': 'flat'},"{'subtitle': 'El Gòtic, Barcelona', 'title': 'Piso'}",True,False,False,False,False,False,,,
1,100071940,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/22/7f/15/1067826344.jpg,2019,54,,178216.0,flat,sale,65.0,True,2,1,Calle del Xiprer,Barcelona,Barcelona,Horta Guinardó,es,El Guinardó,41.4193826,2.1786389,False,https://www.idealista.com/inmueble/100071940/,3775,"¡Oportunidad para inversores! [Auctree. com/auction/2019] ofrece pisos de banco en cesión de remate. IMPORTANTE: LA PROPIEDAD NO GARANTIZA LA DISPONIBILIDAD DE ACCESO AL INMUEBLE, ADEMÁS HAY QUE DISPONER DE FONDOS PROPIOS O DISPONER DE UNA GARANTIA ADICIONAL PARA CONSEGUIR FINANCIACIÓN. La compra del inmueble anunciado se realizará directamente mediante una Asignación de Subasta en [Auctree. com/auction/2019]. En la fase de Cesión de remate encontraras las mejores oportunidades que puede ofrecer el mercado inmobiliario, no encontrarás inmuebles a un precio tan rebajado. No dude en ponerse en contacto con nosotros para ampliar la información. Un saludo,  El equipo de Auctree.",False,good,False,True,2742.0,{'typology': 'flat'},"{'subtitle': 'El Guinardó, Barcelona', 'title': 'Piso en Calle del Xiprer'}",False,False,False,False,False,False,,,
2,100064069,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/88/5b/1067487915.jpg,2209,59,,181876.0,flat,sale,74.0,True,3,1,Avenida dels Quinze,Barcelona,Barcelona,Nou Barris,es,Vilapicina i la Torre Llobeta,41.4294048,2.1757622,False,https://www.idealista.com/inmueble/100064069/,4727,"¡oportunidad para inversores! [auctree. Com/auction/2209] ofrece pisos de banco en cesión de remate. *precio negociable, se admiten ofertas* *el inmueble es visitable* *el cesionario se lo adjudicará libre de inquilinos y ocupantes* importante: la propiedad no garantiza la disponibilidad de acceso al inmueble, además hay que disponer de fondos propios o disponer de una garantia adicional para conseguir financiación. La compra del inmueble anunciado se realizará directamente mediante una asignación de subasta en [auctree. Com/auction/2209]. En la fase de cesión de remate encontraras las mejores oportunidades que puede ofrecer el mercado inmobiliario, no encontrarás inmuebles a un precio tan rebajado. No dude en ponerse en contacto con nosotros para ampliar la información. Un saludo,  el equipo de auctree.",False,good,False,True,2458.0,{'typology': 'flat'},"{'subtitle': 'Vilapicina i la Torre Llobeta, Barcelona', 'title': 'Piso en Avenida dels Quinze'}",False,False,False,False,False,False,,,
3,95563945,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cf/05/33/921983717.jpg,52931158,13,,333000.0,flat,sale,97.0,False,4,1,Calle dels Còdols,Barcelona,Barcelona,Ciutat Vella,es,El Gòtic,41.3799909,2.1792675,False,https://www.idealista.com/inmueble/95563945/,1954,"Piso de 4 habitaciones, 1 baño, cocina amueblada con lavadero, amplio salón-comedor y terraza en venta en el Barrio Gótico de Barcelona (Barcelona). Dispone de un pequeño cuarto trastero interior y suelos de parquet. La finca cuenta con portero automático, ascensor y descansillo con escaleras. Se encuentra junto a la plaza del Duque de Medinaceli, con acceso a todos los servicios básicos: comercios, supermercados, centros educativos, deportivos y de salud, transporte público, servicios de hostelería y restauración, etc. Está frente al Muelle de Barcelona, muy cerca de la rambla del Mar, el centro comercial Maremagnum y el Acuario de Barcelona. Tiene rápido acceso a la carretera B-10, la ronda Litoral, la estación de metro de Drassanes y varias paradas de autobús. ¿Te interesa? Contacta con nosotros.",True,good,False,,3433.0,{'typology': 'flat'},"{'subtitle': 'El Gòtic, Barcelona', 'title': 'Piso en Calle dels Còdols'}",False,False,True,False,False,False,,,
4,97688954,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cc/62/cd/987105307.jpg,,22,5,205000.0,penthouse,sale,75.0,True,3,1,Calle de Garigliano,Barcelona,Barcelona,Nou Barris,es,Les Roquetes,41.4461302,2.1729041,False,https://www.idealista.com/inmueble/97688954/,6480,"Vivienda ático de 55 m2 + 20 m2 de terraza (actualmente anexada al salón) en la zona de Roquetes, tocando el campo de fútbol BRAFA. Exterior. En buen estado de conservación. Disponibilidad inmediata. Consta de amplio salón comedor. Tres habitaciones (una de matrimonio). Baño con bañera y cocina. Carpintería exterior de aluminio con persianas motorizadas. Carpintería interior conservada. Split frío-calor. Suelos de gres y terrazo. ASCENSOR nuevo, a estrenar. Zona bien comunicada (metro L3-Roquetes, autobuses, comercios varios, entidades bancarias, fruterías, colegios, etc. ) Próximo a Vía Favencia y Ronda de Dalt.",False,good,False,True,2733.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Les Roquetes, Barcelona', 'title': 'Ático en Calle de Garigliano'}",False,False,False,False,False,False,,,
5,99771151,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8b/eb/81/1054092370.jpg,AB-SAFA-238,13,3,195000.0,flat,sale,60.0,False,1,1,Calle de Viladomat,Barcelona,Barcelona,Eixample,es,Sant Antoni,41.3775889,2.1608888,False,https://www.idealista.com/inmueble/99771151/,1255,"REF. AB-SAFA-238  CONTACTA CON NOSOTROS AL WHATSAPP AL 634.947. 254. ANDREA, LA CASA AGENCY VENDE  ¡OPORTUNIDAD EN SANT ANTONI! NO TIENE CEDULA DE HABITABILIDAD, SE PUEDE SACAR. Ubicado en el barrio de Sant Antoni. Al lado de todo tipo de comercios y colegios, hospitales. Muy bien comunicado con diversas líneas de autobuses y metro parada SantAntoni (L2) y Rocafort (L1).   La finca consta de 60m² construidos distribuidos en: - 1 habitación doble interior. - 1 baño completo con plato de ducha - Cocina independiente - Salón bastante amplio con luz - Comedor bastante acogedor. La finca es del 1972 con ascensor, el inmueble está en una 3ª planta real de altura con orientación Oeste. Si deseas asesoramiento financiero disponemos de un departamento hipotecario. Si desea vender su vivienda, le ofrecemos una valoración profesional y gratuita. ¿Te lo vas a perder? ** Impuestos, gastos de escrituración, honorarios de agencia y gastos de hipotecarios (si procede) no incluidos en el precio **.",True,good,False,True,3250.0,{'typology': 'flat'},"{'subtitle': 'Sant Antoni, Barcelona', 'title': 'Piso en Calle de Viladomat'}",False,True,False,False,False,False,,,
6,98758746,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c5/5f/e8/1022786950.jpg,PIS4152V,47,bj,366200.0,duplex,sale,251.0,False,1,2,Calle Vilardell,Barcelona,Barcelona,Sants-Montjuïc,es,Hostafrancs,41.3731944,2.1448707,False,https://www.idealista.com/inmueble/98758746/,2096,"Piso tipo dúplex de 251m² construidos en venta en la calle Vilardell, en Sants. Ubicado en la planta baja de un edificio con ascensor. La vivienda principal se ubica en planta baja con acceso directo desde calle, con superficie de 98m² que dispone de cédula de habitabilidad. Dispone también de una planta sótano conectada mediante escalera de superficie 103m² habilitada como piso. En planta baja hay espacio abierto muy amplio para cocina abierta a comedor, salón amplio, habitación doble con armario empotrado y vistas a jardín privado y cuarto de baño completo con plato de ducha. En la planta sótano hay acceso directo a jardín privado exterior descubierto de 50m², cuarto de baño completo con bañera y varias estancias amplias y abiertas que pueden distribuirse como segundo salón-comedor, habitaciones o despachos. La vivienda tiene techos altos y ventanas posteriores. Precisa de reforma. Gastos de comunidad: a concretar importe. IBI: a concretar importe. Transporte público: parada de metro Hostafrancs (L1), Plaza España (L1, L3, L8 y FGC). Amplia red de autobuses en la zona.",False,renew,False,True,1459.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Hostafrancs, Barcelona', 'title': 'Dúplex en Calle Vilardell'}",False,False,False,False,False,False,,,
7,99779354,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/a3/c0/1054305865.jpg,DM-SF-VIL,14,3,195000.0,flat,sale,60.0,False,1,1,Calle viladomat,Barcelona,Barcelona,Eixample,es,La Nova Esquerra de l'Eixample,41.3809873,2.1518782,False,https://www.idealista.com/inmueble/99779354/,1051,"¡LA CASA AGENCY PRESENTA OPORTUNIDAD EN SANT ANTONI! Ubicado en el barrio de Sant Antoni. Al lado de todo tipo de comercios y colegios, hospitales. Muy bien comunicado con diversas líneas de autobuses y metro parada Sant Antoni (L2) y Rocafort (L1). La finca consta de 60m² construidos distribuidos en: - 1 habitación doble interior. - 1 baño completo con plato de ducha - Cocina independiente - Salón bastante amplio con luz - Comedor bastante acogedor. - SIN CÉDULA DE HABIT - La finca es del 1972 con ascensor, el inmueble está en una 3ª planta real de altura con orientación Oeste. Si deseas asesoramiento financiero disponemos de un departamento hipotecario. Si desea vender su vivienda, le ofrecemos una valoración profesional y gratuita. *Impuestos, gastos de escrituración, honorarios de agencia y gastos de hipotecarios (si procede) no incluidos en el precio*. ¡VEN A VERLO SIN COMPROMISO!",True,good,False,True,3250.0,{'typology': 'flat'},"{'subtitle': ""La Nova Esquerra de l'Eixample, Barcelona"", 'title': 'Piso en Calle viladomat'}",False,False,False,False,False,False,,,
8,96815655,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/14/0e/982570994.jpg,60413308,17,bj,366200.0,duplex,sale,251.0,True,2,1,"Calle de Vilardell, 24",Barcelona,Barcelona,Sants-Montjuïc,es,Hostafrancs,41.3743944,2.1429747,True,https://www.idealista.com/inmueble/96815655/,2085,"INMUEBLES WOW EN PERIODO DE PUJAS DESDE EL 14/12/2022 AL 20/12/2022 A LAS 18:00    Dúplex en Barcelona zona Hostafrancs, 251.00 m. de superficie, una habitación doble y una habitación sencilla, un baño, propiedad para reformar.    Ofrecido por Immobiliària Barcelona® - Un club de servicios inmobiliarios a su disposición.    Propiedad bancaria, con buenas condiciones de financiación.    Se entrega sin bienes muebles, incluso si aparece en las fotografías. El precio no incluye impuestos legalmente aplicables. Puede encontrar información sobre el cálculo de los impuestos que le corresponden en su caso particular en: atc. gencat. cat/ca/inici/.",False,renew,False,False,1459.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Hostafrancs, Barcelona', 'title': 'Dúplex en Calle de Vilardell, 24'}",False,False,False,False,False,False,,,
9,98177147,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0f/43/1c/1003179266.jpg,60413308,1,,366200.0,flat,sale,107.0,False,1,2,Calle de Vilardell s/n,Barcelona,Barcelona,Sants-Montjuïc,es,Hostafrancs,41.3746327,2.1433839,True,https://www.idealista.com/inmueble/98177147/,2042,"Vivienda distribuida en 2 habitaciones, 2 baños, cocina y salón-comedor.  Edificio ubicado en un barrio residencial consolidado cerca de zonas verdes valoradas como el Parque Plaça de la Vidriera; ideal para pasear y disfrutar del aire libre. Equipamientos deportivos municipales y centros educativos como la Escuela Gayarre.  Se encuentra cercano al centro de salud; en zona dotada de superficies comerciales de grandes dimensiones y tiendas de barrio necesarias, ocio y restauración. Todo ello, además, con excelentes comunicaciones por transporte público (autobús) y carreteras.",False,good,False,True,3422.0,{'typology': 'flat'},"{'subtitle': 'Hostafrancs, Barcelona', 'title': 'Piso en Calle de Vilardell s/n'}",False,False,False,False,False,False,,,
