Columna1;propertyCode;floor;price;propertyType;operation;size;exterior;rooms;bathrooms;address;province;municipality;country;latitude;longitude;distance;hasVideo;status;newDevelopment;hasLift;priceByArea;hasPlan;has3DTour;has360;hasStaging;superTopHighlight;topNewDevelopment;newDevelopmentFinished;typology_inmo;hasparking;parking_price_included;parking_price;zipcode
0;826301.0;bj;430000;chalet;sale;162;False;4;3;Vila-Seca;Tarragona;Vila-Seca;es;411.217.139;11.546.855;5330;False;good;False;True;2654;False;False;False;False;False;False;True;urban;True;True;0;43201
1;1030384.0;5;310000;penthouse;sale;180;True;3;2;Calle Ibon de Catieras;Zaragoza;Zaragoza;es;416.566.134;-0.9371802;4117;False;good;False;True;1722;True;False;True;False;False;False;True;urban;True;True;0;50011
2;1045615.0;bj;129000;chalet;sale;501;False;6;3;Les Borges del Camp;Tarragona;Les Borges del Camp;es;411.698.636;10.210.307;7526;False;good;False;True;257;False;False;False;False;False;False;True;urban;False;False;0;43350
3;1266023.0;5;250000;flat;sale;180;True;5;2;Centre;Tarragona;Reus;es;411.560.194;11.047.168;357;False;good;False;True;1389;False;False;False;False;False;False;True;urban;False;False;0;43201
4;1457050.0;bj;25000;chalet;sale;248;False;5;1;Calle San Pascual;Teruel;Santa Eulalia;es;405.691.821;-13.135.921;55596;False;renew;False;True;101;False;False;False;False;False;False;True;urban;False;False;0;44360
5;25725076.0;bj;107000;flat;sale;75;True;3;1;Moncófar playa;Castellón;Moncófar;es;397.979.975;-0.1330529;8948;True;good;False;True;1427;True;False;False;False;False;False;True;urban;False;False;0;12593
6;28275758.0;0;750000;flat;sale;320;False;5;4;Puigcerver s/n;Tarragona;Cambrils;es;41.084.052;1.101.057;7900;False;good;False;True;2344;False;False;False;False;False;False;True;urban;False;False;0;43850
7;28340068.0;bj;315000;flat;sale;77;False;2;1;Avenida de la diputació;Tarragona;Cambrils;es;410.673.401;10.924.385;9827;False;good;False;False;4091;False;False;False;False;False;False;True;urban;False;False;0;43850
8;28818666.0;bj;370000;chalet;sale;301;False;5;5;Calle Paraiso;Zaragoza;Zaragoza;es;41.661.252;-0.946058;5737;True;good;False;True;1229;True;True;False;False;False;False;True;residential;True;True;0;50011
9;29068886.0;bj;375000;chalet;sale;262;False;4;3;barrio Jardins de Vilafortuny - Más d'en Bosch;Tarragona;Cambrils;es;410.862.676;10.989.944;7671;False;good;False;True;1431;False;False;False;False;False;False;True;residential;True;True;0;43850
10;29221612.0;4;447000;flat;sale;85;True;3;2;barrio Perchel sur - El Bulto;Málaga;Málaga;es;367.141.481;-44.338.082;2485;True;good;False;True;5259;False;False;False;False;False;False;True;urban;True;True;0;29002
11;29237886.0;4;350000;flat;sale;110;True;5;2;barrio Gran Vía;València;València;es;394.663.869;-0.3660587;1042;False;renew;False;True;3182;False;False;False;False;False;False;True;urban;False;False;0;46005
12;29266448.0;7;290000;flat;sale;90;True;2;2;Calle Duque de Mandas;València;València;es;394.910.887;-0.3633964;2047;False;good;False;True;3222;False;False;False;False;False;False;True;urban;True;True;0;46020
13;30416538.0;5;167000;flat;sale;110;True;4;2;barrio Zona Parque Geólogo José Royo Gómez;Castellón;Castellón de la Plana / Castello de la Plana;es;399.809.786;-0.031873;13409;False;good;False;False;1518;False;False;False;False;False;False;True;urban;True;True;0;12003
14;30654992.0;3;360000;flat;sale;116;True;4;2;Encamp;Andorra;Encamp;es;425.373.439;15.812.409;22425;False;good;False;True;3103;False;False;False;False;False;False;True;urban;True;True;0;AD200
15;31332340.0;2;89000;flat;sale;37;True;1;1;Calle de Berlín;Tarragona;Salou;es;410.773.929;11.393.322;8988;False;good;False;True;2405;False;False;False;False;False;False;True;urban;False;False;0;43840
16;31395972.0;5;138000;flat;sale;80;True;3;1;Calle Vespella;Tarragona;Tarragona;es;411.241.585;12.129.995;9376;False;good;False;True;1725;True;False;False;False;False;False;True;urban;True;True;0;43006
17;31422548.0;1;193000;flat;sale;95;True;3;2;Calle san luis de francia;Zaragoza;Zaragoza;es;416.435.188;-0.8695994;1535;False;good;False;True;2032;True;False;True;False;False;False;True;urban;True;True;0;50013
18;31572620.0;bj;470000;countryHouse;sale;350;False;4;3;Rocafort;València;Rocafort;es;395.315.297;-0.4118512;7035;False;good;False;True;1343;True;False;False;False;False;False;True;rural;True;True;0;46111
19;31998778.0;bj;425000;chalet;sale;196;False;6;3;Calle de valència;Tarragona;Salou;es;410.740.619;11.266.208;9109;False;good;False;True;2168;False;False;False;False;False;False;True;urban;False;False;0;43840
20;32111788.0;bj;540000;chalet;sale;240;False;8;4;Guils de Cerdanya;Girona;Guils de Cerdanya;es;4.244.579;188.289;36134;False;good;False;True;2250;False;False;False;False;False;False;True;urban;True;True;0;17528
21;32111820.0;bj;455000;chalet;sale;340;False;6;3;Estavar;Cerdanya Francesa;Estavar;es;424.678.294;19.943.074;45596;False;good;False;True;1338;False;False;False;False;False;False;True;urban;True;True;0;66800
22;32534344.0;bj;43610;flat;sale;150;False;5;2;Calle Trinidad;Teruel;Alcañiz;es;410.489.201;-0.1342351;58836;False;good;False;True;291;False;False;False;False;False;False;True;urban;False;False;0;44600
23;32584616.0;bj;460000;chalet;sale;310;False;3;3;Plaça Europa i Covamar;Tarragona;Salou;es;410.735.529;11.522.628;9749;False;good;False;True;1484;False;False;False;False;False;False;True;residential;True;True;0;43840
24;33162972.0;2;450000;flat;sale;134;True;4;2;Calle Hort de Godí, 6;Andorra;Encamp;es;425.357.812;15.718.381;21935;True;good;False;True;3358;True;False;False;False;False;False;True;urban;True;True;0;AD200
25;33649684.0;bj;495000;chalet;sale;246;False;5;1;Calle major;Tarragona;Salou;es;410.768.792;11.352.659;8952;True;good;False;True;2012;False;False;False;False;False;False;True;residential;True;True;0;43840
26;33929180.0;bj;395000;countryHouse;sale;669;False;4;2;Llevant;Tarragona;Reus;es;411.788.384;11.413.958;3819;False;good;False;True;590;False;False;False;False;False;False;True;rural;False;False;0;43201
27;34052710.0;bj;284000;chalet;sale;343;False;6;3;Centre;Tarragona;Reus;es;411.563.795;1.104.521;388;True;renew;False;True;828;True;False;True;False;False;False;True;urban;True;True;0;43201
